flight_time,year,month,dayofmonth,weekday,carrier,tailnum,flightnum,origin,dest,bos_depart,schedule_depart,depart,wheels_off,distance,weather_delay,nas_delay,security_delay,late_aircraft_delay,carrier_delay
196,2018,9,4,2,B6,N591JB,602,other,BOS,0,1433,14,28,2300,0,0,0,0,0
68,2018,10,25,4,B6,N298JB,1526,BWI,BOS,0,946,939,955,369,0,0,0,0,0
85,2018,5,30,3,MQ,N827AE,4089,PIT,BOS,0,995,1021,1029,496,0,0,0,0,1
182,2018,9,20,4,AA,N951NN,2588,other,BOS,0,1315,1307,1319,2300,0,0,0,0,0
108,2018,2,15,4,B6,N236JB,2009,BOS,other,1,1230,1229,1243,1010,0,0,0,0,0
125,2018,4,7,6,WN,N429WN,5712,BOS,ATL,1,835,834,850,946,0,0,0,0,0
221,2018,9,21,5,B6,N980JB,988,LAX,BOS,0,1419,1413,1425,2611,0,0,0,0,0
74,2018,7,11,3,YX,N201JQ,6067,BOS,LGA,1,840,833,851,184,0,0,0,0,0
154,2018,2,4,7,B6,N975JB,951,BOS,MCO,1,875,874,889,1121,0,0,0,0,0
78,2018,6,28,4,YX,N209JQ,6055,BOS,LGA,1,480,534,566,184,0,1,0,0,0
49,2018,2,21,3,B6,N334JB,1280,EWR,BOS,0,315,306,320,200,0,0,0,0,0
265,2018,4,4,3,UA,N590UA,433,BOS,SFO,1,364,355,386,2704,0,0,0,0,0
181,2018,8,19,7,NK,N621NK,423,BOS,MCO,1,950,943,957,1121,0,1,0,0,0
102,2018,9,11,2,AA,N545UW,1843,CLT,BOS,0,1234,1227,1314,728,0,1,0,0,0
142,2018,4,12,4,B6,N563JB,522,other,BOS,0,992,988,1002,1197,0,0,0,0,0
67,2018,1,20,6,AA,N662AW,1805,CLT,BOS,0,690,687,699,728,0,0,0,0,0
71,2018,1,25,4,AA,N824AW,2170,BOS,DCA,1,840,831,848,399,0,0,0,0,0
74,2018,4,20,5,AA,N524UW,1806,CLT,BOS,0,1109,1105,1137,728,0,0,0,0,0
153,2018,4,1,7,UA,N445UA,1077,other,BOS,0,582,579,598,1597,0,0,0,0,0
198,2018,6,18,1,B6,N641JB,877,BOS,other,1,1000,1000,1016,2381,0,0,0,0,0
245,2018,8,7,2,DL,N721TW,2488,BOS,SFO,1,420,416,436,2704,0,0,0,0,0
66,2018,5,7,1,B6,N198JB,1137,BOS,DTW,1,472,461,478,632,0,0,0,0,0
66,2018,10,7,7,B6,N374JB,1427,BOS,BWI,1,1286,1304,1317,369,0,0,0,0,0
71,2018,9,7,5,B6,N354JB,389,BOS,DCA,1,582,584,601,399,0,0,0,0,0
169,2018,8,29,3,B6,N807JB,493,BOS,DEN,1,450,449,465,1754,0,0,0,0,0
72,2018,5,19,6,B6,N375JB,1482,other,BOS,0,647,639,649,474,0,0,0,0,0
79,2018,6,18,1,B6,N329JB,1326,BWI,BOS,0,1201,1228,1302,369,0,1,0,1,0
89,2018,10,19,5,WN,N7705A,1667,other,BOS,0,720,717,727,1047,0,0,0,0,0
121,2018,4,1,7,B6,N965JB,952,MCO,BOS,0,869,867,880,1121,0,0,0,0,0
84,2018,9,22,6,DL,N362NB,1523,BOS,DTW,1,1029,1024,1043,632,0,0,0,0,0
135,2018,5,31,4,WN,N8647A,5779,BOS,other,1,775,792,834,1609,0,0,0,0,0
97,2018,8,28,2,B6,N584JB,1907,BOS,other,1,1023,1023,1042,942,0,0,0,0,0
68,2018,9,5,3,B6,N309JB,357,BOS,other,1,1116,1101,1165,413,0,1,0,0,0
80,2018,10,15,1,B6,N351JB,1427,BOS,BWI,1,1286,1324,1337,369,0,1,0,1,1
130,2018,3,5,1,UA,N67827,789,DEN,BOS,0,609,605,631,1754,0,0,0,0,0
72,2018,4,7,6,AA,N993NN,1231,BOS,PHL,1,1065,1061,1083,280,0,0,0,0,0
101,2018,12,11,2,B6,N571JB,1097,BOS,ATL,1,573,568,589,946,0,0,0,0,0
165,2018,9,14,5,B6,N529JB,722,other,BOS,0,650,649,658,1197,0,1,0,0,0
146,2018,7,25,3,NK,N626NK,423,BOS,MCO,1,950,1001,1018,1121,0,1,0,0,0
70,2018,10,14,7,B6,N329JB,56,other,BOS,0,604,595,609,413,0,0,0,0,0
93,2018,4,18,3,B6,N317JB,1481,BOS,other,1,381,381,400,474,0,0,0,0,0
69,2018,3,24,6,WN,N939WN,3661,BWI,BOS,0,650,647,661,369,0,0,0,0,0
57,2018,12,26,3,B6,N339JB,860,PHL,BOS,0,316,342,360,280,0,0,0,0,1
131,2018,5,21,1,NK,N633NK,610,FLL,BOS,0,520,516,529,1237,0,0,0,0,0
192,2018,7,31,2,B6,N989JB,20,other,BOS,0,1243,1235,1255,2588,0,0,0,0,0
125,2018,4,12,4,WN,N8321D,1864,BOS,other,1,425,423,450,1047,0,0,0,0,0
72,2018,2,24,6,9E,N602LR,3485,PIT,BOS,0,510,505,515,496,0,0,0,0,0
164,2018,2,17,6,AA,N979AN,1274,BOS,other,1,450,446,463,1258,0,0,0,0,0
153,2018,12,7,5,DL,N900DU,2258,other,BOS,0,1420,1415,1,2105,0,0,0,0,0
119,2018,2,19,1,DL,N322US,2359,BOS,MCO,1,1171,1241,1256,1121,0,0,0,0,1
161,2018,7,24,2,B6,N585JB,993,BOS,DEN,1,1140,1138,1151,1754,0,0,0,0,0
40,2018,9,24,1,B6,N292JB,118,JFK,BOS,0,869,894,918,187,0,0,0,0,0
229,2018,5,2,3,DL,N3751B,341,BOS,other,1,690,690,705,2496,0,0,0,0,0
46,2018,10,30,2,UA,N33209,2077,BOS,EWR,1,400,389,415,200,0,0,0,0,0
41,2018,4,19,4,DL,N994AT,2675,LGA,BOS,0,540,542,587,184,0,0,0,0,0
158,2018,9,23,7,B6,N580JB,1101,BOS,other,1,838,841,859,1368,0,0,0,0,0
142,2018,6,15,5,WN,N8612K,594,other,BOS,0,920,929,940,1609,0,0,0,0,0
74,2018,12,1,6,EV,N16559,4336,BOS,other,1,610,606,619,563,0,0,0,0,0
97,2018,1,17,3,AA,N954UW,2132,BOS,LGA,1,420,419,470,184,0,1,0,0,0
201,2018,11,26,1,UA,N14106,824,LAX,BOS,0,500,611,633,2611,0,1,0,1,1
79,2018,10,14,7,AA,N950UW,2150,DCA,BOS,0,1260,1253,1265,399,0,0,0,0,0
100,2018,1,7,7,DL,N326DN,1880,BOS,ATL,1,585,589,603,946,0,0,0,0,0
98,2018,6,6,3,DL,N333NW,2062,MSP,BOS,0,1070,1068,1079,1124,0,0,0,0,0
95,2018,12,21,5,DL,N330DX,1055,ATL,BOS,0,450,449,463,946,0,0,0,0,0
74,2018,5,7,1,WN,N491WN,550,BOS,BWI,1,770,766,775,369,0,0,0,0,0
124,2018,3,1,4,WN,N8601C,398,BOS,other,1,315,313,324,861,0,0,0,0,0
139,2018,8,28,2,DL,N350NA,2065,BOS,other,1,1229,1209,1230,1698,0,0,0,0,0
77,2018,2,28,3,NK,N617NK,103,BOS,other,1,305,300,315,738,0,0,0,0,0
97,2018,5,23,3,B6,N334JB,2010,other,BOS,0,420,415,431,1010,0,0,0,0,0
116,2018,8,12,7,DL,N318DX,981,BOS,ATL,1,830,830,840,946,0,0,0,0,0
81,2018,11,10,6,DL,N341NB,2971,DTW,BOS,0,1220,1214,1227,632,0,0,0,0,0
84,2018,4,5,4,B6,N265JB,1789,BOS,DCA,1,449,444,463,399,0,0,0,0,0
109,2018,7,13,5,B6,N641JB,221,BOS,other,1,1319,1312,1323,1197,0,0,0,0,0
107,2018,7,26,4,DL,N337NW,2090,BOS,MCO,1,1229,1341,1374,1121,0,1,0,1,0
82,2018,10,22,1,B6,N558JB,1600,BOS,DCA,1,360,355,375,399,0,0,0,0,0
85,2018,12,12,3,WN,N239WN,2433,BOS,other,1,485,481,501,818,0,0,0,0,0
97,2018,11,12,1,9E,N295PQ,5355,other,BOS,0,1199,1199,1214,1256,0,0,0,0,0
103,2018,7,14,6,NK,N525NK,609,MSP,BOS,0,431,422,432,1124,0,0,0,0,0
71,2018,11,3,6,B6,N190JB,1615,BOS,other,1,1252,1249,1266,395,0,0,0,0,0
66,2018,10,27,6,B6,N198JB,2479,BOS,EWR,1,541,534,551,200,0,0,0,0,0
190,2018,7,16,1,B6,N944JB,2820,other,BOS,0,694,689,708,2588,0,0,0,0,0
174,2018,1,19,5,AA,N850NN,2396,other,BOS,0,1379,1398,1417,2300,0,0,0,0,0
90,2018,6,25,1,DL,N390DA,999,DTW,BOS,0,1317,1315,1327,632,0,0,0,0,0
201,2018,11,7,3,AA,N976NN,1094,BOS,DFW,1,847,851,865,1562,0,1,0,0,1
143,2018,3,26,1,B6,N506JB,401,BOS,other,1,620,634,649,1368,0,0,0,0,0
142,2018,7,24,2,B6,N585JB,2991,BOS,other,1,601,601,615,1185,0,0,0,0,0
46,2018,4,9,1,DL,N980AT,2667,LGA,BOS,0,1140,1138,1164,184,0,0,0,0,0
97,2018,7,23,1,WN,N8529Z,2419,other,BOS,0,595,591,611,942,0,0,0,0,0
78,2018,5,22,2,AA,N822AW,2150,DCA,BOS,0,1260,1258,1283,399,0,0,0,0,0
98,2018,12,18,2,DL,N315DN,1901,BOS,DTW,1,540,594,630,632,0,1,0,0,1
89,2018,7,31,2,NK,N651NK,1030,BWI,BOS,0,1185,1182,1199,369,0,1,0,0,0
53,2018,11,21,3,B6,N284JB,2717,BOS,JFK,1,1371,1362,1377,187,0,0,0,0,0
64,2018,4,23,1,B6,N307JB,2215,BOS,other,1,609,606,622,395,0,0,0,0,0
103,2018,5,5,6,9E,N272PQ,3344,BOS,RDU,1,1020,1018,1048,612,0,0,0,0,0
78,2018,5,18,5,AA,N175AN,1448,BOS,PHL,1,1110,1165,1201,280,0,1,0,0,0
79,2018,11,16,5,AA,N832NN,2723,ORD,BOS,0,525,535,560,867,0,1,0,0,1
93,2018,6,5,2,B6,N184JB,641,BOS,other,1,1000,991,1002,563,0,0,0,0,0
135,2018,11,10,6,B6,N231JB,1301,BOS,other,1,1222,1207,1221,1368,0,0,0,0,0
67,2018,3,29,4,AA,N987NN,2614,ORD,BOS,0,360,356,374,867,0,0,0,0,0
73,2018,9,30,7,UA,N411UA,511,BOS,other,1,889,881,893,413,0,0,0,0,0
