date,type,address,city,zip,price,beds,baths,neighborhood 9,sqft,lotsize,year,hoa,url,mls,latitude,longitude
June-1-2022,multifamily,72-74 Fairmont St,Cambridge,2139,1875000,3,3.5,Cambridgeport,2623,2623,1878,,https://www.redfin.com/MA/Cambridge/72-Fairmont-St-02139/home/11569254,72961986,42.362441,-71.1122723
May-16-2022,multifamily,280 Mcgrath Hwy,Somerville,2145,1200000,6,3,Union Square,3357,3049,1900,,https://www.redfin.com/MA/Somerville/280-McGrath-Hwy-02143/home/8738492,72939467,42.3784791,-71.0897472
May-10-2022,multifamily,23 Hunting St,Cambridge,2141,1500000,6,2.5,Cambridge,2040,4410,1873,,https://www.redfin.com/MA/Cambridge/23-Hunting-St-02141/home/11554188,72968085,42.3734368,-71.0910661
May-6-2022,multifamily,27 Ellery St,Cambridge,2138,2750000,11,6,Cambridge,3927,2234,1903,,https://www.redfin.com/MA/Cambridge/27-Ellery-St-02138/home/11570275,72964506,42.3709404,-71.1111277
May-6-2022,multifamily,19 Berkshire St,Cambridge,2141,1650000,6,3,East Cambridge,3030,2115,1893,,https://www.redfin.com/MA/Cambridge/19-Berkshire-St-02141/home/11555087,72896719,42.3686107,-71.0920566
May-6-2022,multifamily,19 Leonard Ave,Cambridge,2139,1610000,7,3,Mid Cambridge,3610,3444,1903,,https://www.redfin.com/MA/Cambridge/19-Leonard-Ave-02139/home/11563171,72937214,42.3759268,-71.1053249
April-22-2022,multifamily,883 Cambridge St,Cambridge,2141,2150000,6,7,Inman Square,3610,1930,1890,,https://www.redfin.com/MA/Cambridge/883-Cambridge-St-02141/home/11554395,72940508,42.3726934,-71.0915837
April-20-2022,multifamily,286 Pearl St,Cambridge,2139,1420000,4,2,Cambridgeport,1973,,1876,,https://www.redfin.com/MA/Cambridge/286-Pearl-St-02139/home/11559876,72940554,42.3576757,-71.1100274
April-20-2022,multifamily,26 Clark St,Somerville,2143,1350000,6,3,Union Square,2713,3700,1900,,https://www.redfin.com/MA/Somerville/26-Clark-St-02143/home/8729903,72948954,42.3779664,-71.0974795
April-20-2022,multifamily,27 Dana St,Cambridge,2138,2755000,7,3,Mid Cambridge,4500,3478,1886,,https://www.redfin.com/MA/Cambridge/27-Dana-St-02138/home/11571149,72959769,42.3713366,-71.1095138
August-5-2022,multifamily,93 Thorndike St,Cambridge,2141,4296675,14,8,East Cambridge,8737,5007,1846,,https://www.redfin.com/MA/Cambridge/93-Thorndike-St-02141/home/11552523,72908566,42.3701304,-71.0823166
July-29-2022,multifamily,95-97 Hampshire St,Cambridge,2139,2700000,10,6.5,Cambridge,5223,5628,1886,,https://www.redfin.com/MA/Cambridge/95-Hampshire-St-02139/home/11556753,72970636,42.3691534,-71.0949574
July-8-2022,multifamily,337 Cambridge St,Cambridge,2141,3750000,16,5,East Cambridge,7580,2685,1890,,https://www.redfin.com/MA/Cambridge/337-Cambridge-St-02141/home/11552225,72893617,42.3713966,-71.0816343
June-1-2022,multifamily,359 Cambridge St,Cambridge,2141,4075000,17,9.5,Cambridge,8183,5006,1910,,https://www.redfin.com/MA/Cambridge/359-Cambridge-St-02141/home/11552079,72951001,42.3715076,-71.0820202
June-1-2022,multifamily,3 Boston St,Somerville,2143,1900000,11,5,Somerville,4870,5412,1890,,https://www.redfin.com/MA/Somerville/3-Boston-St-02143/home/8738353,72962571,42.3803498,-71.0905765
September-2-2022,singlefamily,35 Brewster St,Cambridge,2138,2895000,5,2.5,West Cambridge,2501,4107,1884,,https://www.redfin.com/MA/Cambridge/35-Brewster-St-02138/home/11588170,73001840,42.3789081,-71.13252
August-26-2022,singlefamily,37 Marion St,Somerville,2143,865000,2,1.5,Inman Square,1150,2178,1986,,https://www.redfin.com/MA/Somerville/37-Marion-St-02143/home/8751618,73012015,42.3774285,-71.1004822
August-17-2022,singlefamily,18 Craigie St,Cambridge,2138,4250000,4,4,Harvard Square,3587,7805,1920,,https://www.redfin.com/MA/Cambridge/18-Craigie-St-02138/home/11587060,72973442,42.3781429,-71.1281185
August-11-2022,singlefamily,5 Chauncy Ln,Cambridge,2138,2100000,3,2.5,Harvard Square,2122,2070,1968,,https://www.redfin.com/MA/Cambridge/5-Chauncy-Ln-02138/home/11577033,73001510,42.3800257,-71.1221415
August-5-2022,singlefamily,12 Hilliard St,Cambridge,2138,2405000,5,2.5,Harvard Square,2500,2806,1911,,https://www.redfin.com/MA/Cambridge/12-Hilliard-St-02138/home/11575730,72989334,42.3741297,-71.1233096
August-3-2022,singlefamily,5 Michael Way,Cambridge,2141,1350000,3,2,Cambridge,1296,3336,1984,,https://www.redfin.com/MA/Cambridge/5-Michael-Way-02141/home/11554794,72995436,42.36947,-71.0891812
August-2-2022,singlefamily,1 Allston Ct,Cambridge,2139,2200000,4,3,Cambridgeport,1946,2250,1873,,https://www.redfin.com/MA/Cambridge/1-Allston-Ct-02139/home/11560874,73002199,42.359228,-71.1098373
August-2-2022,singlefamily,28 Bristol St,Cambridge,2141,1945000,3,2.5,Kendall Square,2736,3211,1894,,https://www.redfin.com/MA/Cambridge/28-Bristol-St-02141/home/11555058,72983931,42.367854,-71.092101
